pad,well,event_type,timestamp,pad_pg_value
P121,103W07,103W07 trip,2025-07-29 21:37:00,109.1868896484375
P121,103W07,103W07 start,2025-07-30 14:01:00,118.68707275390625
P121,103W07,103W07 start,2025-07-30 14:07:00,192.9074249267578
P121,103W07,103W07 trip,2025-07-30 14:13:00,194.0947723388672
P121,103W07,103W07 trip,2025-07-30 14:19:00,158.30567932128906
P121,103W07,103W07 start,2025-08-06 17:25:00,-0.07008495181798935
P121,103W10,103W10 NFE,2025-07-29 18:19:00,118.00326538085938
P121,103W10,103W10 +13.5 hz,2025-07-29 23:19:00,0.06867676973342896
P121,103W10,103W10 NFE,2025-08-06 08:01:00,-0.07437655329704285
P121,104N03,104N03 NFE,2025-07-30 18:25:00,110.88778686523438
P121,104N03,104N03 NFE,2025-08-06 17:07:00,136.7847442626953
P121,104N03,104N03 NFE,2025-08-08 18:13:00,107.33721923828125
P121,104N11,104N11 NFE,2025-08-01 13:37:00,-0.07437655329704285
P121,104N11,104N11 NFE,2025-08-09 01:43:00,-0.1602085530757904
P121,104N12,104N12 trip,2025-07-29 08:43:00,-0.05148802325129509
P121,104N12,104N12 start,2025-08-07 02:01:00,0.005733309779316187
P121,104W02,104W02 trip,2025-08-07 19:25:00,134.3614044189453
P121,104W03,104W03 trip,2025-07-31 02:13:00,109.43865966796875
P121,104W03,104W03 start,2025-08-02 15:07:00,111.93351745605469
P121,104W03,104W03 NFE,2025-08-02 18:13:00,-0.06865441799163818
P121,104W03,104W03 trip,2025-08-03 04:37:00,190.73300170898438
P121,104W04,104W04 NFE,2025-07-28 11:31:00,122.38117218017578
P121,104W04,104W04 start,2025-08-08 00:55:00,153.0627899169922
P121,104W04,104W04 trip,2025-08-09 15:37:00,120.78136444091797
P121,109W06,109W06 trip,2025-07-27 12:25:00,165.7644805908203
P121,109W06,109W06 start,2025-07-28 04:13:00,101.47822570800781
P121,109W06,109W06 NFE,2025-07-30 01:07:00,145.89724731445312
P121,109W06,109W06 +2.0 hz,2025-07-30 09:19:00,117.96749877929688
P121,109W06,109W06 trip,2025-08-01 08:19:00,114.24955749511719
P121,109W06,109W06 start,2025-08-04 09:13:00,-0.07294601947069168
P121,109W08,109W08 trip,2025-08-01 06:13:00,140.7287139892578
P121,109W08,109W08 start,2025-08-01 08:55:00,114.28961181640625
P121,109W08,109W08 NFE,2025-08-01 05:01:00,105.95674896240234
P121,109W08,109W08 NFE,2025-08-07 07:43:00,132.47454833984375
P121,109W08,109W08 trip,2025-08-08 08:01:00,-0.10298721492290497
P121,109W11,109W11 start,2025-07-30 09:37:00,152.60357666015625
P121,131P03,131P03 start,2025-07-29 12:37:00,197.68682861328125
